data_index,text,cluster
0,"hi, how are you doing?",36
1,i'm fine. how about yourself?,23
2,i'm pretty good. thanks for asking.,30
3,no problem. so how have you been?,14
4,i've been great. what about you?,23
5,i've been good. i'm in school right now.,10
6,what school do you go to?,1
7,i go to pcc.,10
8,do you like it there?,2
9,it's okay. it's a really big campus.,34
10,good luck with school.,6
11,how's it going?,2
12,i'm doing well. how about you?,23
13,"never better, thanks.",4
14,so how have you been lately?,7
15,i've actually been pretty good. you?,23
16,i'm actually in school right now.,16
17,which school do you attend?,1
18,i'm attending pcc right now.,0
19,are you enjoying it there?,2
20,it's not bad. there are a lot of people there.,8
21,good luck with that.,8
22,how are you doing today?,1
23,i'm doing great. what about you?,23
24,"i'm absolutely lovely, thank you.",48
25,everything's been good with you?,2
26,i haven't been better. how about yourself?,23
27,i started school recently.,0
28,where are you going to school?,2
29,i'm going to pcc.,10
30,how do you like it so far?,1
31,i like it so far. my classes are pretty good right now.,30
32,it's an ugly day today.,44
33,i know. i think it may rain.,0
34,"it's the middle of summer, it shouldn't rain today.",42
35,that would be weird.,8
36,"yeah, especially since it's ninety degrees outside.",42
37,"i know, it would be horrible if it rained and it was hot outside.",48
38,"yes, it would be. ",12
39,i really wish it wasn't so hot every day. ,16
40,me too. i can't wait until winter.,0
41,"i like winter too, but sometimes it gets too cold.",9
42,i'd rather be cold than hot.,16
43,it doesn't look very nice outside today.,8
44,you're right. i think it's going to rain later.,30
45,"in the middle of the summer, it shouldn't be raining.",4
46,that wouldn't seem right.,8
47,"considering that it's over ninety degrees outside, that would be weird.",42
48,"exactly, it wouldn't be nice if it started raining. it's too hot.",26
49,"i know, you're absolutely right.",19
50,i wish it would cool off one day.,0
51,"that's how i feel, i want winter to come soon.",56
52,"i enjoy the winter, but it gets really cold sometimes.",19
53,"i know what you mean, but i'd rather be cold than hot.",11
54,i wish it was a nicer day today.,35
55,that is true. i hope it doesn't rain.,30
56,it wouldn't rain in the middle of the summer.,8
